Judul Artikel,Konten,Rating,Image,Price
"Taman Literasi: Taman dengan ruang bacaan di tengah Blok-M","Taman Literasi Marta Christina Tiahahu adalah sebuah taman yang terletak di sekitar kompleks pusat perbelanjaan dan terminal bus Blok M di Kelurahan Melawai, Kebayoran Baru, Jakarta Selatan. Taman ini dinamai setelah salah satu pahlawan nasional Indonesia, yaitu Martha Christina Tiahahu, dan memiliki luas 9.710 m². Setelah proses revitalisasi yang dimulai pada 21 Oktober 2021, taman ini dibuka kembali untuk umum pada 18 September 2022. Taman Literasi Marta Christina Tiahahu dirancang ulang menjadi bagian dari Kawasan Berorientasi Transit dari Stasiun MRT Blok M. Hal ini menjadikan taman ini sebagai ruang ketiga bagi masyarakat Jakarta, yang tidak hanya berfungsi sebagai tempat rekreasi, tetapi juga sebagai pusat kegiatan literasi dan komunitas. Dengan demikian, taman ini berperan penting dalam mendukung aktivitas literasi dan interaksi sosial di kawasan kota.",4,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746943112/image_2025-05-11_125832472_l3o5cz.png,"30000 - 75000"
"M Bloc Space: Old-School Charm","In the bustling district of Blok M, M Bloc Space has emerged as a vibrant addition, transforming a former banknote and money-printing factory into a dynamic lifestyle hub. This exciting newcomer attracts lifestyle enthusiasts with its diverse array of food and beverage (F&B) options and creative tenants. Upon entering M Bloc Space, visitors are greeted by an enticing lineup of eateries, including Tjikini and Katong. These establishments charm patrons with their nostalgic, old-school ambiance, serving delicious Indonesian cuisine and beverages. Whether you're seeking a cozy spot for remote work or a lively place to hang out, M Bloc Space provides ample options. Among its standout features is _Oeang, a café-restaurant poised to be the centerpiece of M Bloc Space, drawing in crowds of young, stylish individuals eager for a productive day or a thrilling weekend event. As a creative hub, M Bloc Space joins a growing list of similar venues in Jakarta and is poised to become a must-visit destination in the near future. It offers a perfect blend of work and play for the city's vibrant community, promising a promising future in the local lifestyle scene.",4.5,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746943574/49b60a1e-9106-4122-8a0f-bcc785686011.png,"55000 - 150000"
"Little Tokyo Blok M: Street Style Series","Little Tokyo, nestled within the Blok M area in South Jakarta, stands as one of the city's most distinctive neighborhoods. While it lacks the traditional trappings of Japan, such as ancient shrines or ramen vending machines, it more than compensates with a plethora of Japanese restaurants and bars that saturate the block. This enclave is akin to Jekyll and Hyde from Robert Louis Stevenson's 1886 tale, showcasing dual personalities. By day, especially on weekends, it becomes a bustling spot for families who flock to the izakayas for lunch, only to quiet down in the late afternoon. As evening falls, Little Tokyo transforms under the glow of neon sign boxes from various Japanese eateries. The area teems with life, drawing in both locals and tourists. It's a favored haunt for white-collar Japanese expatriates who unwind with post-work drinks alongside compatriots. Amidst the lively atmosphere, some shadowy bars pepper the scene, inviting passers-by to wonder about the hidden indulgences within. Although the core of Little Tokyo remains largely unchanged over the years, the emergence of third-wave coffee shops like Filosofi Kopi and Djule has ushered in a younger crowd. This addition enriches the neighborhood's character, creating a vibrant ecosystem where everyone from bicyclists and tourists to street vendors and kitchen workers contribute to the eclectic tapestry that makes people-watching a delightful experience.",4.6,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746944179/df5299a6-2f9b-4aed-92ce-a6fc126c0a0f.png,"75000 - 150000"
"Taman Ayodya: Stop and feel the moment of zen!","Taman Ayodya, yang sebelumnya dikenal sebagai Taman Barito, adalah salah satu taman kota yang berlokasi di Jakarta Selatan. Taman ini menawarkan suasana yang asri dengan luas lahan mencapai 7.500 m², serta dilengkapi dengan kolam buatan seluas 1.500 m² yang terletak di tengahnya. Fasilitas yang ada di taman ini meliputi jalur pijakan, kursi, gazebo, pendopo, kamar mandi, dan trek jogging. Semua ini dirancang untuk memberikan kenyamanan bagi para pengunjung yang ingin bersantai atau berolahraga. Berada di lokasi yang strategis, Taman Ayodya dikelilingi oleh beragam fasilitas umum seperti Hotel Gran Mahakam, Plaza Blok M, Pasar Burung Barito, Mal Blok M, dan Pasar Taman Puring. Keberadaan taman ini bersebelahan dengan Taman Langsat, menambah daya tarik kawasan tersebut sebagai tempat rekreasi dan relaksasi di tengah hiruk-pikuk kota Jakarta. Taman Ayodya tidak hanya menjadi tempat untuk melepas penat, tetapi juga berfungsi sebagai ruang publik yang mendukung interaksi sosial dan kegiatan komunitas.",4.45,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746944284/c5fdb1df-d4ea-4092-9c8c-f3f9367b3a8e.png,"35000 - 75000"
"Blok M Square: Pusat perbelanjaan di kawasan Blok-M","Blok M Square, yang dahulu dikenal sebagai Aldiron Plaza, adalah salah satu pusat perbelanjaan yang terletak di kawasan Blok M, Jakarta Selatan. Lokasinya yang strategis berada tepat di depan Terminal Blok M, menjadikannya mudah diakses oleh pengunjung. Blok M Square dimiliki oleh PD Pasar Jaya dan merupakan salah satu dari 153 pasar yang mereka kelola. Pembangunannya merupakan hasil kerjasama antara PD Pasar Jaya dan PT Melawai Jaya Realty. Awalnya dikenal sebagai Pasar Melawai dan Aldiron Plaza, tempat ini selalu ramai pengunjung sebelum akhirnya dikembangkan menjadi trade mall yang modern. Blok M Square kini menawarkan berbagai fasilitas yang memadai, menjadikannya destinasi belanja yang nyaman dan menguntungkan, baik bagi konsumen maupun pemilik usaha. Transformasi ini tidak hanya meningkatkan kualitas belanja, tetapi juga memperkuat posisinya sebagai pusat perbelanjaan penting di Jakarta Selatan.",4.5,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746944742/fa410906-5aad-4b06-a7e7-3cb967a8ae11.png,"50000 - 150000"
"Blok M Plaza: Pusat Perbelanjaan Legendaris di Jakarta Selatan","Plaza Blok M adalah pusat perbelanjaan yang terletak di kawasan Kebayoran Baru, Jakarta Selatan. Didirikan di atas lahan bekas New Garden Hall Theatre, plaza ini telah berdiri sejak 30 November 1988. Plaza Blok M terdiri dari tujuh lantai area perbelanjaan dan 13 lantai area parkir yang mampu menampung sekitar 700 kendaraan roda empat dan 300 kendaraan roda dua. Plaza ini merupakan pusat perbelanjaan pertama yang dimiliki oleh Pakuwon Jati di wilayah Indonesia bagian barat, meskipun pengelolaannya dilakukan oleh Grup Subentra melalui usaha patungan dengan Sudwikatmono. Pusat perbelanjaan ini mulai beroperasi untuk umum pada tanggal 12 Desember 1990 dan diresmikan sepenuhnya oleh Ibu Negara saat itu, Tien Soeharto, pada tanggal 30 Mei 1991. Plaza Blok M telah menjadi destinasi belanja yang ramai hingga saat ini. Pengunjung dapat menikmati berbagai macam hal mulai dari jajanan kecil hingga berbelanja pakaian untuk kerja dan keseharian. Selain itu, pusat perbelanjaan ini terus berbenah diri dengan melakukan perbaikan di beberapa tempat, termasuk pelataran parkiran dan interior Plaza Blok M. Integrasi dengan Stasiun MRT Blok M juga telah dilakukan untuk memudahkan akses bagi para pengunjung. Dengan berbagai fasilitas yang ditawarkan, Plaza Blok M tetap menjadi pilihan favorit bagi warga Jakarta dan sekitarnya untuk berbelanja dan bersantai.",4.4,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746944868/4b3a8e68-d754-4048-8819-81be69c3cc98.png,"50000 - 150000"
"Portrait Flagship: Capture every moment!","Hai, warga Jakarta Selatan! Ada kabar gembira untuk kalian yang suka berfoto. Kini, di Blok M Square telah hadir tempat foto baru yang hits dan wajib kalian kunjungi, yaitu Portrait Flagship. Tempat ini menawarkan berbagai spot foto yang pastinya aesthetic dan cocok untuk menambah koleksi foto keren kalian di media sosial. Setiap sudutnya didesain dengan konsep yang unik sehingga memberikan pengalaman berfoto yang berbeda. Portrait Flagship terletak di lantai UG Blok M Square. Tempat ini sangat mudah dijangkau dan siap menjadi destinasi favorit baru kalian. Ayo, ajak teman-teman dan keluarga untuk merapat sekarang juga dan abadikan momen berharga kalian di sini. Jangan sampai ketinggalan tren foto terbaru dan pastikan kalian menjadi yang pertama merasakannya. Selamat bersenang-senang dan berkreasi dengan foto-foto kalian! 🤳",4,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746945253/91362350-2e55-49e0-af83-d74a0ab7da21.png,"50000 - 155000"
"Natural Therapy Spa: From Cold Plunge to Tea Bath","In Jakarta, the wellness boom is manifesting in an increasing number of fluid, one-stop destinations that blend convenience with personalized care. These spaces are redefining the concept of well-being by combining traditional healing wisdom with modern approaches. Some venues emphasize the social aspect of self-care, offering communal experiences that foster a sense of connection and shared wellness journeys. Stephanie Tjiu, co-founder of Anda Wellness, highlights the growing anxiety within her generation, noting a shift in how people advocate for their own health. Anda Wellness began as a massage home service in 2020 and has since expanded into Anda Reserva, Indonesia's first social wellness club. This evolution reflects a broader trend where individuals are delving into medical journals from various cultures to understand what best works for their bodies. As awareness grows, people are increasingly eager to build and explore wellness habits that support their overall health. Anda Reserva aims to provide a space for individuals to cultivate these habits, offering a platform for exploration and personal growth in well-being. By integrating diverse healing traditions with modern insights, Jakarta's wellness destinations are crafting new pathways for individuals to achieve a balanced and healthy lifestyle.",4.3,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746945487/c1ac897f-6d8c-472e-a755-86370d57386e.png,"30000 - 200000"
"Zoomoov Plaza Blok M: The Land of ZOOMOOV!","Apakah Anda mencari cara menyenangkan untuk menghabiskan waktu bersama si kecil? Kami hadir dengan solusi menarik: persewaan robot binatang lucu. Tempat ini menyediakan berbagai jenis robot binatang yang bisa dinaiki oleh anak-anak dan satu pendamping dewasa. Dengan desain yang aman dan ergonomis, setiap robot menawarkan pengalaman berkendara yang seru dan menghibur, cocok untuk anak-anak maupun orang dewasa yang menemani. Kami menawarkan berbagai pilihan robot binatang, mulai dari gajah yang megah hingga kuda poni yang menggemaskan. Semua robot dirancang dengan perhatian khusus terhadap detail dan keamanan, memastikan setiap perjalanan menjadi kenangan indah. Tempat persewaan ini cocok untuk berbagai acara, seperti pesta ulang tahun atau sekadar menghabiskan akhir pekan bersama keluarga. Dengan harga yang terjangkau, Anda dan si kecil dapat menikmati petualangan tanpa batas dalam dunia robot binatang yang penuh warna.",4.25,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746945635/89bdcadd-330f-40e0-a461-65b34ca7cf12.png,"65000 - 150000"
"ASTHA District: Into the New ASHTA World!","The latest retail development by ASRI, a subsidiary of the Agung Sedayu Group known for projects like Mall of Indonesia and PIK Avenue, opened its doors last November amid the pandemic. Ashta, whose name means ""eight"" in Sanskrit, embodies eight elements of a good life: freedom, learning, health, love, friends, family, purpose, and peace. Despite the challenging circumstances brought on by PSBB (Large-Scale Social Restrictions), Ashta has quickly garnered excitement from the city's epicureans. Nazira C. Noer, Deputy GM of Business & Casual Leasing at ASRI, expressed gratitude for the overwhelming response, noting the viral moments on social media that have highlighted the retail space's appeal. One notable tenant is the French-Japanese brand Maison Kitsuné, which has attracted lifestyle enthusiasts with its boutique and café. Ashta's allure continues to grow with the addition of renowned brands such as Singapore's IUIGA, Level Gym, and the soon-to-open % Arabica Coffee from Kyoto. Homegrown brands are also thriving, with establishments like Bakerman and Ground Zero offering unique culinary experiences that align with Ashta's theme of embracing newness. Beyond its diverse tenant lineup, the four-storey podium offers communal spaces like the ""Melting Pot"" for workshops and events, as well as terraced balconies perfect for capturing the breathtaking views of towering skyscrapers. For those seeking a moment of tranquility, a secret spot on the eighth-floor rooftop reveals lush greenery and panoramic cityscapes, providing a serene escape from the urban hustle.",4.8,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746945903/9c7fb03b-5c5d-4ecc-be5b-7c17edbce06b.png,"125000 - 350000"
